Club,Compensation,Last Name
LA,173000,Zardes
COL,173275,Harris
KC,173812.5,Zusi
CHV,175000,Agudelo
CLB,175000,O'Rourke
PHI,175000,Casey
SJ,175000,Chavez
VAN,176000,Koffie
SJ,176333.33,Busch
PHI,176400,Carroll
SJ,177500,Cronin
COL,180000,Harbottle
KC,180000,Besler
TOR,180000,Ephraim
SEA,181046,Evans
HOU,184187.5,Barnes
PHI,184250,Okugo
LA,184375,Sarvas
POR,186666.67,Silvestre
PHI,189666.67,McInerney
VAN,189916.67,Cannon
SEA,190000,Hurtado
VAN,190000,Rochat
DC,190450,Kitchen
LA,191666.67,Magee
HOU,192000,Camargo
CHV,192500,Kennedy
NE,194000,Alston
POR,194750,Jewsbury
CLB,195000,Gaven
SJ,196666.67,Gordon
CHI,197833.33,Pause
HOU,198500,Hall
NY,199500,Holgersson
COL,200000,Mastroeni
COL,200000,Thomas
DAL,200000,Ihemelu
KC,200000,Bieler
NY,200000,Digao
NY,200000,Juninho
TOR,200000,Frei
TOR,200000,Laba
CHI,205000,Lindpere
DC,205000,Pajoy
RSL,205500,Findley
KC,208000,Bunbury
SJ,208333.33,Hernandez
SEA,210000,Alonso
RSL,210833.33,Rimando
NE,211537.54,Sene
RSL,211972.75,Borchers
VAN,212000,Mattocks
PHI,212812.5,Le
COL,212933.33,Pickens
RSL,213833.33,Gil
KC,215000,Convey
PHI,216500,Parke
SJ,217500,Lenhart
HOU,220000,Boswell
KC,220000,Nielsen
MTL,222000,Wenger
NY,222500,McCarty
SEA,225000,Rosales
CLB,225375,Arrieta
CLB,230000,Sanchez
CHI,231000,Larentowicz
VAN,231100,Young-Pyo
SEA,233000,Zakuani
MTL,236833.33,Perkins
VAN,237362.5,Reo-Coker
DAL,237500,Fernandez
VAN,238833.33,Kobayashi
HOU,239000,Cummings
VAN,242250,O'Brien
POR,243750,Johnson
POR,243754,Chara
COL,247000,Moor
VAN,247500,Sanvezzo
CHI,248333.33,Rolfe
LA,248333.33,Franklin
CHI,249500,Nyarko
KC,256250,Collin
DAL,262276,Hassli
CLB,263333.33,Berti
POR,266000,Nagbe
KC,270500,Nagamura
CHI,273000,Duka
DC,273250,McDonald
COL,275000,Buddle
LA,282000,Gonzalez
DC,284625,Teixera
COL,285000,Wynne
SEA,285000,Gspurning
LA,290000,Juninho
MTL,290000,Arnaud
NE,295000,Toja
MTL,295475,Ferrari
POR,300000,Ricketts
RSL,300000,Morales
DAL,301666.67,John
KC,302500,Kamara
DC,303341.33,Jakovic
MTL,305000,Nesta
HOU,307750,Clark
TOR,310000,Eckersley
RSL,311250,Beckerman
KC,312187.5,Feilhaber
PHI,321000,Valdes
DAL,324250,Perez
NY,325000,Olave
NY,340736,Pearce
DAL,342500,Cooper
PHI,350000,Soumare
DC,361000,Pontius
CLB,361250,Marshall
CHI,366666.67,Fernandez
CHI,367500,Friedrich
HOU,372062.5,Davis
VAN,375000,DeMerit
POR,400000,Valeri
NE,445000,Cisse
RSL,453333.33,Saborio
TOR,456250,O'Dea
PHI,495000,Kleberson
CHI,527125,MacDonald
SEA,599333.33,Joseph
SJ,600000,Wondolowski
CLB,604000,Higuain
DC,645333.33,DeRosario
DAL,730000,Ferreira
SEA,856000,Montero
VAN,1132492,Miller
TOR,1663323.33,Koevermans
SEA,1725000,Martins
MTL,1937508,Di
LA,2500000,Donovan
NY,3625000,Cahill
LA,4333333.33,Keane
NY,4350000,Henry
NE,82265.63,Tierney
NY,79999.92,Luyindula
TOR,99999.96,Russell
